Topic,Title,URL
technology,Tesla owner shares heart-stopping video of self-driving feature preventing highway accident: 'No way I could've reacted that fast',https://tech.yahoo.com/transportation/articles/tesla-owner-shares-heart-stopping-014500725.html
sports,"Eagles' Signature, Controversial Tush Push ‘Is Done,’ Jason Kelce Predicts",https://www.foxsports.com/stories/nfl/eagles-signature-controversial-tush-push-is-done-jason-kelce-predicts
finance,'Unbelievable': Senator scorches Trump for firing prosecutor who couldn't charge adversary,https://www.rawstory.com/mark-warner-2674011864/
politics,"Less camp, more conservative - inside Russia's alternative Eurovision",https://news.sky.com/story/less-camp-more-conservative-inside-russias-alternative-eurovision-13434392
health,Valley fever challenges California woman in ongoing health battle,https://www.ksbw.com/article/valley-fever-challenges-monterey-county-california/67972520
science,"Trump hits H-1B visas with $100,000 fee, targeting the program that launched Elon Musk and Instagram | TechCrunch",https://techcrunch.com/2025/09/19/trump-hits-h-1b-visas-with-100000-fee-targeting-the-program-that-launched-elon-musk-and-instagram/
travel,Morrissey cancels US concerts after ‘credible threat’ to his life,https://www.nzherald.co.nz/entertainment/morrissey-cancels-us-concerts-after-credible-threat-to-his-life/7SMNVYYY6ZC4FJV5S4QHZEHDT4/
education,Rangers notebook: Artemi Panarin leaves practice with injury,https://www.foreverblueshirts.com/new-york-rangers-news/artemi-panarin-leaves-practice-with-injury/
environment,Tesla owner shares heart-stopping video of self-driving feature preventing highway accident: 'No way I could've reacted that fast',https://tech.yahoo.com/transportation/articles/tesla-owner-shares-heart-stopping-014500725.html
entertainment,‘Big Brother 27’ Week 11 Spoilers: Who Won HOH?,https://www.buddytv.com/big-brother-27-week-11-spoilers-who-won-hoh/
